ST,County,StateFIPS,CountyFIPS,S_C_Rate,Population,S_Homicide_Rate,S_Suicide_Rate
KY,LAWRENCE,21,127,14.11797575,110987,3.343731099,10.62563438
KY,LEE,21,129,21.3850582,54321,6.165061824,14.06404729
KY,LESLIE,21,131,18.78952123,78484,4.576934658,13.00813008
KY,LETCHER,21,133,16.37025728,168500,3.934482436,11.45215423
KY,LEWIS,21,135,12.23289532,97167,3.444213247,8.254235195
KY,LINCOLN,21,137,14.32400558,172157,2.573174654,10.72156106
KY,LIVINGSTON,21,139,18.26745291,66132,,16.23773592
KY,LOGAN,21,141,14.14315704,187875,2.677097582,10.80941288
KY,LYON,21,143,20.36860497,58778,,18.03122407
KY,MC CRACKEN,21,145,19.09007709,458665,2.32610183,16.04208159
KY,MC CREARY,21,147,13.98247237,126751,2.201964152,10.78962434
KY,MC LEAN,21,149,13.29688922,66805,2.180689832,10.79707405
KY,MADISON,21,151,11.7270786,590292,3.36212116,8.042193814
KY,MAGOFFIN,21,153,21.1922202,91966,5.29805505,15.2178177
KY,MARION,21,155,13.99060477,139248,2.780184281,10.31358685
KY,MARSHALL,21,157,17.73611466,218935,2.453612699,14.51136654
KY,MARTIN,21,159,16.81233108,89987,3.948350481,12.48188217
KY,MASON,21,161,15.23642964,121890,4.416356418,10.26802867
KY,MEADE,21,163,13.86044765,203277,1.98006395,11.24165339
KY,MENIFEE,21,165,14.58682809,44410,3.506449061,10.51934718
KY,MERCER,21,167,13.9232762,149103,2.293245491,11.38432583
KY,METCALFE,21,169,15.15514174,70339,,12.02789027
KY,MONROE,21,171,17.0575693,76128,3.672115612,12.43781095
KY,MONTGOMERY,21,173,13.67564463,187269,3.448640819,9.989166511
KY,MORGAN,21,175,14.82809085,95765,3.223498011,10.95989324
KY,MUHLENBERG,21,177,15.92681119,219805,3.425766936,11.83993134
KY,NELSON,21,179,12.15760509,306667,2.17265186,9.337780336
KY,NICHOLAS,21,181,14.70596553,49587,3.535087868,10.6052636
KY,OHIO,21,183,14.39223642,167695,1.931425666,12.02468237
KY,OLDHAM,21,185,13.8727097,427617,5.334542496,8.219254335
KY,OWEN,21,187,12.50599777,75618,2.12687037,9.953753331
KY,OWSLEY,21,189,21.97522214,32881,6.051148126,14.80938883
KY,PENDLETON,21,191,9.180801506,102818,1.21673273,7.715191627
KY,PERRY,21,193,19.83898792,198712,5.654590761,13.32183247
KY,PIKE,21,195,19.6922491,452215,4.544365177,14.4986889
KY,POWELL,21,197,15.71496657,88145,4.50839205,10.56251852
KY,PULASKI,21,199,14.62190591,442391,2.718949446,10.81537669
KY,ROBERTSON,21,201,15.04425518,15762,,11.28319139
KY,ROCKCASTLE,21,203,13.28024653,119107,2.666304323,9.844815961
KY,ROWAN,21,205,13.58710355,163859,3.486955779,9.498948502
KY,RUSSELL,21,207,15.26379372,123400,2.699085475,11.16862955
KY,SCOTT,21,209,11.66948008,337039,3.046711549,8.364085479
KY,SHELBY,21,211,13.59902147,300333,5.466567,7.802962759
KY,SIMPSON,21,213,12.78190278,122154,2.298652815,9.751860429
KY,SPENCER,21,215,13.90959068,120859,5.50650824,8.056096987
KY,TAYLOR,21,217,14.69839706,173628,3.538502995,10.47941272
KY,TODD,21,219,15.70816221,87356,3.936237369,11.03617954
KY,TRIGG,21,221,18.93268833,99752,3.20514015,15.13124304
KY,TRIMBLE,21,223,11.67883908,61890,1.430061928,9.831675753
KY,UNION,21,225,12.88512198,105751,,10.61829496
KY,WARREN,21,227,13.69968329,807583,2.138769121,10.92506389
